Cycle #,Module,Adsorption (min),Evacuation (min),Preheating (min),NCGs Purging (min),NCGs Purging/Heating (min),Heating/CO2 Purging (min),CO2 Purging (min),Cooling (min),Total Cycle (min)
264,N2-M2n4,62.3,1.4,1.6,10.0,18.6,11.5,11.9,10.5,127.8
263,N1N2-M1n3,61.2,2.6,2.6,10.0,14.3,3.5,37.1,34.7,166.1
262,N2-M2n4,61.2,1.5,1.7,10.0,20.0,6.4,11.9,21.9,134.7
261,N1N2-M1n3,61.2,2.6,2.6,10.0,12.4,6.3,34.8,48.8,178.7
260,N2-M2n4,61.2,0.9,1.2,10.0,20.5,13.5,11.9,14.1,133.2
256,N2-M2n4,61.2,1.4,1.6,10.0,26.7,13.2,11.9,8.0,133.9
254,N2-M2n4,62.4,1.6,1.5,10.0,3.4,40.1,14.4,7.6,141.1
252,N2-M2n4,62.3,1.4,14.1,10.0,24.8,14.7,11.9,8.0,147.2
247,N1N2-M1n3,61.9,1.0,8.9,10.0,18.0,3.3,56.4,24.6,184.2
246,N2-M2n4,62.3,1.4,1.6,10.0,19.0,10.6,11.9,14.3,131.3
245,N1N2-M1n3,61.2,2.6,2.6,10.0,16.1,6.0,37.2,37.4,173.0
244,N2-M2n4,62.3,1.4,1.6,10.0,22.3,16.2,11.9,5.4,131.2
243,N1N2-M1n3,62.3,2.5,2.5,10.0,19.7,7.6,49.5,9.6,163.8
242,N2-M2n4,61.4,1.3,1.6,10.0,27.2,12.7,11.9,8.0,134.0
241,N1N2-M1n3,61.2,2.6,2.5,10.0,19.0,8.8,52.3,7.4,163.8
240,N2-M2n4,61.1,1.4,1.9,10.0,27.0,12.9,11.9,8.0,134.2
237,N1N2-M1n3,61.2,2.5,2.5,10.0,16.3,6.1,46.0,26.2,170.8
236,N2-M2n4,62.4,1.4,1.5,10.0,27.0,12.9,11.9,8.0,135.1
235,N1N2-M1n3,61.2,2.6,2.5,10.0,16.6,6.8,37.3,25.2,162.2
234,N2-M2n4,61.2,1.5,1.7,10.0,25.9,14.0,11.9,8.0,134.1
233,N1N2-M1n3,61.2,2.5,2.5,10.0,14.8,6.0,34.9,29.9,161.9
230,N2-M2n4,61.2,1.3,1.5,10.0,31.0,10.2,14.9,13.1,143.2
228,N2-M2n4,62.3,1.5,1.7,10.0,30.2,24.5,7.9,14.4,152.5
227,N1N2-M1n3,61.2,2.5,2.5,10.0,17.6,5.6,97.7,25.3,222.5
226,N2-M2n4,61.2,1.8,1.9,10.0,26.0,13.9,7.9,9.3,131.9
225,N1N2-M1n3,61.2,2.7,2.7,10.0,16.8,88.4,0.4,37.2,219.4
222,N2-M2n4,62.3,1.5,1.7,10.0,18.8,21.1,3.1,15.9,134.6
221,N1N2-M1n3,61.2,2.6,2.6,10.0,15.7,7.1,31.1,33.6,163.9
218,N2-M2n4,62.3,1.5,1.7,10.0,18.3,13.0,7.4,21.5,135.7
217,N1N2-M1n3,58.5,7.3,1.9,10.0,15.5,4.1,38.8,40.3,176.5
216,N2-M2n4,62.3,1.5,1.6,10.0,26.0,17.1,6.2,13.9,138.6
215,N1N2-M1n3,61.2,2.6,2.6,10.0,18.6,5.5,38.2,31.9,170.7
212,N2-M2n4,62.3,1.5,1.6,10.0,27.2,21.9,8.2,14.5,147.3
211,N1N2-M1n3,61.2,2.6,2.6,10.0,16.1,5.0,35.0,31.6,164.1
210,N2-M2n4,62.3,1.4,1.6,10.0,25.9,22.7,11.5,14.4,149.8
209,N1N2-M1n3,61.2,2.6,8.4,10.0,16.7,5.0,34.6,31.4,170.0
